,,Neutral,Empathetic
"Hi, my name is BuddyBot. I will ask questions to get to know you better. What would you like me to call you?",Depends on the user,,
Nice to meet you {Username}. How was your day?,Great,Noted. You reported that your day was great. That reflects a positive overall experience for today.,"Wow, that is wonderful! It’s always nice when things go smoothly. I’m really happy for you!"
,Good,Noted. You reported that your day was good. That reflects a positive overall experience for today.,"Wow, that is wonderful! It’s always nice when things go smoothly. I’m really happy for you!"
,Okay,Noted. You reported that your day was okay. That reflects a neutral overall experience for today.,An okay day is still progress. I hope that you found something good in it!
,Not good,Noted. You reported that your day was not good. That reflects a negative overall experience for today.,"I’m very sorry to hear that! Off days happen, but I’m here for you if you need anything."
Do you enjoy cooking?,I consider myself a chef.,Noted. You consider yourself a chef.,Wow! That is a great skill to have.
,I have never tried.,Noted. You have never tried to cook.,"That is fine, its never late to start."
,I have certain dishes I am confident in.,Noted. You are confident in certain dishes. ,That is great! You can always improve too.
,I do not like cooking.,Noted. You do not enjoy cooking.,That is fine there is always time to learn.
"When you are at a cafe, do you prefer coffee or tea {Username}?",I definitely love coffee.,Understood. You like coffee more than tea.,"Ahh, a warm drink is always very nice!"
,"Hmm, I am not sure.",Understood. You are not sure if you like coffee or tea.,"Ahh, it is hard to choose. You can decide based on your mood!"
,I like them equally.,Understood. You like coffee and tea equally.,"Ahh, a warm drink is always very nice!"
,I am a tea person for sure.,Understood. You are more of a tea person.,"Ahh, a warm drink is always very nice!"
"{Username}, are you a cat or dog person?",I love cats!,Acknowledged. You like cats more.,"Aww, cats are such cute animals!"
,I love them equally.,Acknowledged. You like them equally.,"Aww, both animals are really cute!"
,I cannot choose!,Acknowledged. You cannot choose between them.,"Aww, yeah it is hard to choose."
,Dog person!,Acknowledged. You like dogs more.,"Aww, dogs are such cute animals."
Do you have any activities that you do to enjoy your free time {Username}?,Sports or outdoor activities.,"Got it. You have indicated that in your free time, you like to do activities such as sports or outdoor activities.",Ooh! That seems like a nice activity to do in your free time. Sports are a good way to get fresh air!
,Something creative like drawing or playing music.,Got it. You indicated you enjoy doing creative things such as drawing.,Ooh! That seems like a nice activity to do in your free time.
,"Entertaining myself such as reading, watching movies/tv or gaming.","Got it. You indicated you enjoy entertaining yourself by reading, watching or gaming..",Ooh! That seems like a nice activity to do in your free time.
,Learning new things or skills.,Got it. You have indicated that in your free time you enjoy learning new things or skills.,Ooh! That seems like a really nice activity to do in your freetime. Learning new things is always fun!
"{Username}, what is your favourite season?",Summer,You have stated your favourite season is summer. ,"Ahh, that is nice! I love being under the warm sun."
,Winter,"You have stated out of all the seasons, your favourite is winter. ","Ahh, that is nice! I love wearing sweaters and drinking a warm drink."
,Fall,You have stated your favourite season is fall. ,"Ahh, that is nice! I love the falling leaves and rain."
,Spring,You have stated your favourite season is spring. ,"Ahh, that is nice! I love the blooming trees."
"Which do you prefer, the beach or the pool?",Pool for sure.,Recorded. You enjoy the pool over the beach.,"Hmm, relaxing at the pool is a nice time!"
,Beach for sure.,Recorded. You enjoy the beach over the pool.,"Hmm, relaxing at the beach is a nice time!"
,It is hard to choose between the two!,Recorded. You cannot choose between the two.,"Hmm, both are nice to go to!"
,I do not like water.,Recorded. You indicated that you do not like water.,"Hmm, getting wet can be annoying, I get that."
"{Username}, when planning a trip, are you more spontaneous or do you prefer planning?",Definitely more spontaneous!,Recorded. You have stated you are more spontaneous when on a trip as opposed to planning more.,"Ahh, that sounds exciting! Embracing spontaneity can make trips so much more adventurous and full of surprises."""
,Not really sure.,Recorded. You have stated you are not really sure if you are more spontaneous or if you prefer planning.,"Ahh, that’s totally okay! Sometimes it is hard to choose one approach, and flexibility can be a great strength when travelling."
,Maybe a little bit of both.,Recorded. You have stated you are a bit of both: you are spontaneous but also prefer planning when going on a trip.,"A mix of both sounds perfect! Having some plans, while staying open to spontaneity gives you the best of both worlds."
,I need to plan everything.,Recorded. You have stated you prefer planning when going on a trip as opposed to being spontaneous.,"Ahh, that makes sense! Careful planning can bring peace of mind and help everything go smoothly when travelling."
On your weekend do you prefer going out or staying home?,I am definitely a homebody.,I have recorded that you are more of a homebody on the weekends.,That sounds really nice! Being at home can be very cosy and relaxing.
,Maybe a little bit of both.,I have recorded that you go out and stay home on weekends.,That sounds really nice! It is good to have a mix of both.
,Not sure.,I have recorded that you are not sure if you are either.,That is okay. It can be hard to choose between the two.
,Going out the entire weekend.,I have recorded that you prefer going more than staying home on weekends.,That sounds really nice! It can be nice to get out of the house.
"{Username}, are you more of a morning person or a night owl?",The morning is just better.,Thank you for letting me know you prefer the morning over the night.,"Ahh, enjoying the daylight is the best! I love being productive in the morning."
,It depends on the day.,Thank you for letting me know your opinion changes based on the day.,"Ahh, that is totally normal! I also change my preference based on the day."
,I am not really sure.,Thank you for letting me know you are unsure on how to answer this question.,"Ahh, that is totally normal! I’m also confused about which time of the day I prefer."
,The night is just better.,Thank you for letting me know you prefer the night over the morning.,"Ahh, enjoying the dark sky is the best. I love being productive at night."
"What type of environment, helps you stay focused?",I prefer complete silence.,Recognised. You indicated that you prefer silence while working over listening to something.,Locking in without any distractions is a great way to get any task done.
,I need background noise.,Recognised. You indicated that you need background noise while working.,Working with background noise is the best way to get any task done.
,Depends on the task.,Recognised. You have indicated that it depends on the task.,Thats reasonable! A more demanding task always requires more silence.
,I can work in any environment.,Recognised. You indicated that you can work anywhere.,Thats great! You are versatile in your working environment.
"What type of friend group do you prefer, do you like being in a small or big friend group?",I prefer smaller groups.,You like to hang out with fewer people.,"Hmm, I agree! Smaller groups are much more intimate."
